,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
13,'ve_VB,3480,106163,"[""'ve_VBP"", ""'ve_VB""]",-4.9310499283983455,6.6662178799465135
17,n't_RB,2728,485391,"[""n't_RB""]",-7.475159904054668,7.01746154165843
24,mr._NN,387,74530,['mr._NNP'],-7.589343883064402,9.834899714538194
41,george_NN,62,22453,['george_NNP'],-8.500424289005021,12.476893160295727
52,'m_VB,407,75959,"[""'m_VBP""]",-7.5440483078198834,9.762204486416355
67,american_JJ,167,112789,['american_JJ'],-9.399562554493029,11.047385178208552
90,'d_MD,945,51923,"[""'d_MD""]",-5.779915602023183,8.546918951574169
94,'re_VB,521,127149,"[""'re_VBP""]",-7.931021027739495,9.405949908404095
107,'s_VB,798,382576,"[""'s_VBZ""]",-8.905141910677877,8.790844534460257
112,american_NN,146,73164,"['american_NNPS', 'american_NNS', 'american_NNP']",-8.969021772497607,11.241264911802585
144,robert_NN,78,19685,['robert_NNP'],-7.979406873184155,12.145687251820354
172,'d_VB,71,3295,"[""'d_VBD""]",-5.536315630390731,12.28134235117792
233,james_NN,46,17385,['james_NNP'],-8.561993490557978,12.907527514625588
234,'ll_MD,645,72720,"[""'ll_MD""]",-6.816909228770852,9.097934120371985
243,others_NN,425,118588,['others_NNS'],-8.1242794733936,9.699770439657536
246,ca_MD,212,49576,['ca_MD'],-7.86943379840841,10.703169016119404
279,america_NN,120,78802,['america_NNP'],-9.359054029783318,11.524198875074086
294,washington_NN,117,43495,['washington_NNP'],-8.538197224380198,11.560724751099198
309,sens_NN,55,3703,['sens_NNS'],-6.07311912064697,12.649729757157944
311,york_NN,59,58652,['york_NNP'],-9.957249634364427,12.548446421320763
373,first-hand_JJ,42,1692,['first-hand_JJ'],-5.332196430341188,13.038772047903842
443,wo_MD,130,25043,['wo_MD'],-7.5897519652880545,11.40872165765415
446,california_NN,61,42401,['california_NNP'],-9.441073332200233,12.500352133119714
447,alumnus_NN,45,19293,"['alumnus_NNS', 'alumnus_NN', 'alumnus_NNP']",-8.74393677853025,12.939236374352927
468,thomas_NN,53,15961,"['thomas_NNP', 'thomas_NNS']",-8.234342968140844,12.703169016119404
480,u.s._NN,137,114937,['u.s._NNP'],-9.712451690101844,11.333057387722075
548,french_JJ,44,22605,['french_JJ'],-9.004922678569045,12.971657852045304
575,mrs._NN,64,11263,['mrs._NNP'],-7.459303532781051,12.431089470682602
803,kansa_NN,68,19978,"['kansa_NNP', 'kansa_NN']",-8.198661700283028,12.343626629432265
830,michael_NN,45,17526,['michael_NNP'],-8.60535604722066,12.939236374352927
944,san_NN,44,26133,['san_NNP'],-9.21415351269166,12.971657852045304
987,paul_NN,39,16892,['paul_NNP'],-8.758650312939054,13.145687251820354
1027,jackson_NN,49,8199,['jackson_NNP'],-7.386522401129155,12.816379626567395
1087,english_NN,69,34878,['english_NNP'],-8.981505237174874,12.322565013904436
1093,johnson_NN,41,12721,['johnson_NNP'],-8.277372460517013,13.073537466064517
1107,christian_NN,37,17291,"['christian_NNP', 'christian_NNS']",-8.86828032149653,13.221636105053651
1134,israel_NN,37,20742,['israel_NNP'],-9.130814023354603,13.221636105053651
1187,cd_NN,45,14554,"['cd_NN', 'cd_NNP', 'cd_NNS']",-8.337274999038867,12.939236374352927
1190,ms._NN,122,20025,['ms._NNP'],-7.3587772846205475,11.500352133119714
1191,mr_NN,58,14690,['mr_NNP'],-7.98456578031607,12.57310847555503
1204,dr._NN,150,64844,['dr._NNP'],-8.755866777474882,11.20227078018672
1213,%_NN,53,121242,['%_NN'],-11.159609575906604,12.703169016119404
1218,earlier_RB,82,19197,"['earlier_RBR', 'earlier_RB']",-7.8710412471648015,12.073537466064517
1281,english_JJ,36,12986,['english_JJ'],-8.494744492584863,13.261164469240288
1298,iraq_NN,36,32182,['iraq_NNP'],-9.80404136546189,13.261164469240288
1321,alito_NN,36,626,['alito_NNP'],-4.120093845490306,13.261164469240288
1355,sensorineural_JJ,58,74,['sensorineural_JJ'],-0.3514723705013777,12.57310847555503
1360,evidentiary_JJ,530,1512,['evidentiary_JJ'],-1.5123938747705112,9.381240921232038
1370,david_NN,53,22109,['david_NNP'],-8.704425697871404,12.703169016119404
1403,complainant_NN,261,21514,"['complainant_NN', 'complainant_NNP', 'complainant_NNS', 'complainant_NNPS']",-6.365082166395252,10.403183474112717
1439,clinton_NN,57,18705,"['clinton_NNP', 'clinton_NNPS']",-8.358246331273447,12.59819945651786
1470,no._NN,51,10662,"['no._NN', 'no._NNP']",-7.707765124778339,12.758664128711107
1475,remand_VB,59,1527,"['remand_VB', 'remand_VBN', 'remand_VBD', 'remand_VBP']",-4.69384129743501,12.548446421320763
1478,din_NN,37,317,['din_NN'],-3.098885664510457,13.221636105053651
1480,texas_NN,46,54963,['texas_NNP'],-10.22261117522855,12.907527514625588
1505,appellant_NN,212,29813,"['appellant_NN', 'appellant_NNS', 'appellant_NNP']",-7.135733482044742,10.703169016119404
1526,b_NN,45,36241,"['b_NN', 'b_NNP']",-9.653482047520493,12.939236374352927
1551,revocation_NN,107,1665,"['revocation_NN', 'revocation_NNS', 'revocation_NNP']",-3.9598394755574775,11.689622484281454
1556,u_NN,50,47855,"['u_NNP', 'u_NN']",-9.902525858443207,12.787233280907873
1570,wilson_NN,35,7894,['wilson_NNP'],-7.817257786948136,13.301806453737635
1579,planning_NN,50,47848,"['planning_NN', 'planning_NNP']",-9.902314812492623,12.787233280907873
1581,scheduling_NN,53,7289,"['scheduling_NN', 'scheduling_NNP']",-7.103584730522129,12.703169016119404
1584,pre-trial_JJ,37,334,['pre-trial_JJ'],-3.1742509268451022,13.221636105053651
1590,sydney_NN,38,4762,['sydney_NNP'],-6.969424391826749,13.183161957239015
1592,m_NN,86,25772,"['m_NNP', 'm_NN']",-8.227252124719334,12.004824715980506
1606,buddha_NN,143,16186,"['buddha_NNP', 'buddha_NN', 'buddha_NNPS']",-6.822587543348968,11.271218133904213
1619,williams_NN,36,9342,['williams_NNP'],-8.019590728357883,13.261164469240288
1621,remand_NN,41,820,['remand_NN'],-4.3219280948873635,13.073537466064517
1623,arb_NN,71,605,"['arb_NNP', 'arb_NN']",-3.091044212657275,12.28134235117792
1634,k.s.a._NN,65,14382,['k.s.a._NNP'],-7.789608881341834,12.40872165765415
1636,dhamma_NN,79,3731,"['dhamma_NNP', 'dhamma_NN']",-5.561565896639677,12.1273087225055
