,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
30,'d_MD,2505,51923,"[""'d_MD""]",-4.373491233049048,8.693427137841164
32,'ve_VB,7449,106163,"[""'ve_VBP"", ""'ve_VB""]",-3.833090472236439,7.121190979025737
63,ca_MD,1736,49576,['ca_MD'],-4.8358030205271305,9.222470793479255
64,n't_RB,11897,485391,"[""n't_RB""]",-5.350477630481158,6.445711823326051
65,'m_VB,1014,75959,"[""'m_VBP""]",-6.2270913550827895,9.998180088920394
93,'re_VB,2606,127149,"[""'re_VBP""]",-5.6085392214498695,8.6364006573556
97,'s_VB,4598,382576,"[""'s_VBZ""]",-6.378596096182044,7.817231275205554
134,'ll_MD,4199,72720,"[""'ll_MD""]",-4.1142345062464525,7.948191953088718
138,america_NN,663,82363,"['america_NNP', 'america_NNPS', 'america_NN']",-6.956843699264951,10.611156965811146
152,washington_NN,231,43495,['washington_NNP'],-7.556812902547545,12.132272984507678
183,american_JJ,661,112789,['american_JJ'],-7.414760385459392,10.615515564416043
217,dr._NN,366,64865,"['dr._NNP', 'dr._NN']",-7.469452776856515,11.468322187639695
229,wo_MD,453,25043,['wo_MD'],-5.788752538270276,11.1606547858775
247,american_NN,615,73223,"['american_NNPS', 'american_NNS', 'american_NNP', 'american_NN']",-6.895566662449861,10.719579425697132
287,others_NN,1461,118588,['others_NNS'],-6.342858041615165,9.471281563120236
343,mary_NN,151,13555,['mary_NNP'],-6.488132753399996,12.745617286598653
371,mr._NN,434,74530,['mr._NNP'],-7.423982406764332,11.222470793479257
429,europe_NN,327,42800,"['europe_NNP', 'europe_NN']",-7.03217635067779,11.630875200425653
492,b_NN,489,36352,"['b_NNP', 'b_NN', 'b_NNS']",-6.216056464552448,11.0503313709715
527,earlier_RB,195,19197,"['earlier_RBR', 'earlier_RB']",-6.621262938033272,12.376691712174125
535,u.s._NN,546,114937,['u.s._NNP'],-7.717726632142519,10.891264885003881
611,california_NN,184,42480,"['california_NNP', 'california_NN']",-7.850934189634503,12.460460069866722
622,'d_VB,158,3295,"[""'d_VBD""]",-4.382282001718312,12.680241277746632
630,european_JJ,169,30997,['european_JJ'],-7.518961536361628,12.583142589641552
655,israel_NN,153,20768,"['israel_NNP', 'israel_NN']",-7.084686825306487,12.726634183231086
733,texas_NN,246,54963,['texas_NNP'],-7.803658625946324,12.041507520584496
738,e-mail_NN,153,37222,"['e-mail_NN', 'e-mail_NNS', 'e-mail_NNP']",-7.926480112741825,12.726634183231086
820,v_NN,225,9196,"['v_NNP', 'v_NN', 'v_NNS']",-5.353009559501143,12.170240834706695
876,david_NN,157,22129,"['david_NNP', 'david_NN']",-7.139029888500869,12.689401277032108
884,sec_NN,163,7078,"['sec_NN', 'sec_NNP', 'sec_NNS']",-5.440397892194153,12.635293871692655
1104,ii_NN,262,24344,"['ii_NNP', 'ii_NN', 'ii_NNS']",-6.5378556169771445,11.950599024386284
1134,york_NN,255,58697,"['york_NNP', 'york_NN']",-7.846645711856843,11.989668589064875
1243,india_NN,195,30143,['india_NNP'],-7.272205074963111,12.376691712174125
1261,kan._NN,836,12167,['kan._NNP'],-3.863326736090156,10.276662893842852
1287,specie_NN,275,51512,"['specie_NNS', 'specie_NNP', 'specie_NN']",-7.549333126226142,11.880734217511714
1348,c_NN,342,35615,"['c_NN', 'c_NNP']",-6.702344854951155,11.566169511037836
1350,u_NN,273,47855,"['u_NNP', 'u_NN']",-7.453624907298079,11.891264885003881
1361,%_NN,428,121242,['%_NN'],-8.146063044068656,11.242555039522589
1402,microsoft_NN,151,23891,"['microsoft_NNP', 'microsoft_NN']",-7.305774881831392,12.745617286598653
1407,iraq_NN,211,32182,['iraq_NNP'],-7.252867178197018,12.262922837216552
1413,m_NN,171,26381,"['m_NNP', 'm_NN', 'm_NNS']",-7.269359117186941,12.566169511037836
1419,re_NN,153,3423,"['re_NN', 're_NNP']",-4.483657734317187,12.726634183231086
1420,mpep_NN,244,356,['mpep_NNP'],-0.5449960934035114,12.053284688360849
1423,supp_NN,179,3036,['supp_NNP'],-4.08414029815121,12.500206248659476
1424,oracle9i_NN,162,1568,"['oracle9i_NNP', 'oracle9i_NNS']",-3.274859841230584,12.64417202303911
1425,buddha_NN,411,16237,"['buddha_NNP', 'buddha_NN', 'buddha_NNPS', 'buddha_NNS']",-5.3040028960673675,11.301027442242052
1426,k.s.a._NN,682,14382,['k.s.a._NNP'],-4.398348765346117,10.570394096899562
