,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
1,'ll_MD,138,72720,"[""'ll_MD""]",-9.041540122303301,9.484925026283022
4,'re_VB,220,127149,"[""'re_VBP""]",-9.174800876493345,8.812089769536533
22,n't_RB,827,485391,"[""n't_RB""]",-9.197044313907565,6.901705963889919
24,america_NN,46,82277,"['america_NNP', 'america_NNPS']",-10.804639614486694,11.06988752700418
44,american_NN,38,69273,"['american_NNPS', 'american_NNP']",-10.832078019965081,11.345521969617607
49,'s_VB,255,382576,"[""'s_VBZ""]",-10.551033410041363,8.599096046202336
77,'m_VB,128,75959,"[""'m_VBP""]",-9.21293329208613,9.593449483061192
133,'ve_VB,202,106163,"[""'ve_VBP"", ""'ve_VB""]",-9.037710036382641,8.935238000309399
149,others_NN,255,118588,['others_NNS'],-8.861245067559805,8.599096046202336
156,american_JJ,65,112789,['american_JJ'],-10.760899033938628,10.571081670032738
203,'d_MD,97,51923,"[""'d_MD""]",-9.064173278944489,9.993536640874066
266,wo_MD,68,25043,['wo_MD'],-8.52465693706617,10.505986641810852
348,dr._NN,38,64844,['dr._NNP'],-10.736757954527176,11.345521969617607
357,george_NN,21,22453,['george_NNP'],-10.062303176613137,12.201132060282431
359,washington_NN,21,43495,['washington_NNP'],-11.01624452118484,12.201132060282431
372,mr._NN,55,74530,['mr._NNP'],-10.404173925684153,10.812089769536533
470,french_JJ,21,22605,['french_JJ'],-10.072036874427582,12.201132060282431
479,paul_NN,14,16892,['paul_NNP'],-10.236697609743699,12.786094561003587
559,ca_MD,53,49576,['ca_MD'],-9.86943379840841,10.865529028497994
608,cd_NN,157,14776,"['cd_NN', 'cd_NNP', 'cd_NNS', 'cd_NNPS']",-6.556347402090812,9.298828734169566
650,italian_JJ,13,9208,['italian_JJ'],-9.468232399991138,12.893009764920098
724,mozart_NN,25,1417,"['mozart_NNP', 'mozart_NN']",-5.8247678531432925,11.949593293286467
727,mp3s_NN,17,196,['mp3s_NNS'],-3.527247002864869,12.505986641810852
752,http_NN,19,2913,"['http_NNP', 'http_NN', 'http_NNS']",-7.260362472696763,12.345521969617607
776,podcasts_NN,24,386,"['podcasts_NNS', 'podcasts_NNP']",-4.007494536546925,12.008486982340035
790,fm_NN,18,1819,"['fm_NNP', 'fm_NN']",-6.659004826209174,12.42352448161888
808,npr_NN,24,831,['npr_NNP'],-5.113742166049188,12.008486982340035
833,u.s._NN,16,114937,['u.s._NNP'],-12.810483773062373,12.593449483061194
869,pc_NN,23,18614,"['pc_NN', 'pc_NNP']",-9.660538535851986,12.06988752700418
939,mrs._NN,12,11263,['mrs._NNP'],-9.874341032059895,13.008486982340035
955,english_NN,35,34878,['english_NNP'],-9.960746677008077,11.464166466116225
1032,michael_NN,19,17526,['michael_NNP'],-9.84928163010675,12.345521969617607
1043,tcp_NN,21,3130,"['tcp_NNP', 'tcp_NN']",-7.21962951904122,12.201132060282431
1127,bbc_NN,18,2060,['bbc_NNP'],-6.838503620628267,12.42352448161888
1168,indian_JJ,18,18656,['indian_JJ'],-10.017427071758183,12.42352448161888
1177,note-taking_NN,15,187,['note-taking_NN'],-3.640003864279118,12.686558887452676
1186,dvd_NN,12,6072,"['dvd_NNP', 'dvd_NN', 'dvd_NNS', 'dvd_NNPS']",-8.98299357469431,13.008486982340035
1190,york_NN,16,58652,['york_NNP'],-11.839892683726273,12.593449483061194
1205,mp3_NN,14,1225,"['mp3_NNP', 'mp3_NN']",-6.451211111832329,12.786094561003587
1241,playing_NN,15,4341,['playing_NN'],-8.176921111644361,12.686558887452676
1305,beethoven_NN,14,975,['beethoven_NNP'],-6.121903486579369,12.786094561003587
1327,rapt_JJ,14,202,['rapt_JJ'],-3.8508565606941914,12.786094561003587
1335,english_JJ,14,12986,['english_JJ'],-9.857314571969573,12.786094561003587
1362,david_NN,14,22109,['david_NNP'],-10.624991230377,12.786094561003587
1388,e-mail_NN,41,37099,"['e-mail_NN', 'e-mail_NNS']",-9.821540674594573,11.235897478443107
1400,arab_NN,12,4721,"['arab_NNP', 'arab_NNPS']",-8.619914266882837,13.008486982340035
1428,floyd_NN,13,1265,"['floyd_NNP', 'floyd_NN']",-6.6044819514405795,12.893009764920098
1439,e-mail_VB,16,2692,"['e-mail_VB', 'e-mail_VBN']",-7.394462694610318,12.593449483061194
