,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
1440,daemon_NN,17,1093,"['daemon_NN', 'daemon_NNS']",-6.0066148444215655,12.505986641810852
1452,tcp\/ip_NN,14,1032,['tcp\\/ip_NNP'],-6.20387233336565,12.786094561003587
1453,ip_NN,18,23158,['ip_NNP'],-10.329298040990675,12.42352448161888
1470,instal_VB,14,22148,"['instal_VBN', 'instal_VBG', 'instal_VBD']",-10.627533884472793,12.786094561003587
1489,jim_NN,14,10223,['jim_NNP'],-9.512176083318204,12.786094561003587
1491,cornell_NN,14,26070,['cornell_NNP'],-10.862748040365314,12.786094561003587
1503,%_NN,33,121242,['%_NN'],-11.84313591111135,11.54905536370274
1505,clinton_NN,13,18379,['clinton_NNP'],-10.465330933242669,12.893009764920098
1518,dharma_NN,16,1112,"['dharma_NNP', 'dharma_NN']",-6.118941072723508,12.593449483061194
1531,mp3_JJ,20,728,['mp3_JJ'],-5.185866545311334,12.27152138817383
1540,cim_NN,14,470,['cim_NNP'],-5.0691620245073965,12.786094561003587
1544,rick_NN,22,4642,['rick_NNP'],-7.721099188707185,12.134017864423894
1548,joe_NN,17,8570,['joe_NNP'],-8.977616647749523,12.505986641810852
1551,alumnus_NN,14,18129,"['alumnus_NNP', 'alumnus_NNS']",-10.338656805363225,12.786094561003587
1552,planning_NN,13,47848,"['planning_NN', 'planning_NNP']",-11.845731284126256,12.893009764920098
1555,udp_NN,14,910,"['udp_NNP', 'udp_NN']",-6.0223678130284535,12.786094561003587
1557,buddha_NN,51,14649,['buddha_NNP'],-8.166089221387125,10.921024141089694
1558,taru_NN,14,45,['taru_NNP'],-1.6844981742720706,12.786094561003587
1559,dhamma_NN,102,3731,"['dhamma_NNP', 'dhamma_NN']",-5.192921302845284,9.921024141089696
1560,xm_NN,12,425,['xm_NNP'],-5.146356530303908,13.008486982340035
1561,wnyc_NN,22,522,['wnyc_NNP'],-4.568474377932588,12.134017864423894
