,Count,NN/JJ/VB/RB/MD,Descriptors
Auditory,21,0.14/0.24/0.1/0.48/0.05,"promising_JJ,funny_JJ,stupid_JJ,critically_RB,really_RB,ought_MD,specifically_RB,sound_VB,shot_NN,though_RB,smart_JJ,basically_RB,anyway_RB,quite_RB,answer_NN,quiet_JJ,very_RB,instead_RB,maybe_RB,anything_NN,welcome_VB"
Gustatory,1,0.0/1.0/0.0/0.0/0.0,fresh_JJ
Haptic,8,0.12/0.5/0.25/0.12/0.0,"cool_JJ,hard_RB,feel_VB,sharp_JJ,take_VB,smooth_JJ,hard_JJ,skin_NN"
Interoceptive,26,0.19/0.42/0.12/0.23/0.04,"eagerly_RB,weird_JJ,tired_JJ,strange_JJ,sad_JJ,enthusiastic_JJ,future_NN,honest_JJ,deeply_RB,terrible_JJ,fine_NN,past_NN,heaven_NN,might_MD,now_RB,fun_NN,happy_JJ,wonder_VB,want_VB,healthy_JJ,exciting_JJ,then_RB,simply_RB,motivate_VB,never_RB,future_JJ"
Olfactory,2,0.5/0.0/0.5/0.0/0.0,"smell_VB,flower_NN"
Visual,233,0.46/0.28/0.07/0.19/0.0,"forward_RB,let_NN,closer_RB,bleak_JJ,around_RB,favorably_RB,mirror_NN,ahead_RB,closely_RB,straight_RB,inside_JJ,recruit_VB,shoulder_NN,foolish_JJ,silly_JJ,backward_RB,microscope_NN,pale_JJ,alike_RB,neat_JJ,experienced_JJ,ugly_JJ,suspicious_JJ,carefully_RB,back_RB,inside_RB,pause_VB,eye_NN,face_NN,smile_VB,glance_NN,bright_JJ,nice_JJ,pretty_RB,auction_NN,everywhere_RB,briefly_NN,picture_NN,clue_NN,dirty_JJ,close_JJ,quick_JJ,elsewhere_RB,exactly_RB,sky_NN,watch_NN,someone_NN,beautiful_JJ,odd_JJ,fascinating_JJ,worth_JJ,attractive_JJ,realistic_JJ,somebody_NN,window_NN,way_NN,outside_JJ,round_NN,guy_NN,glass_NN,something_NN,good_JJ,constantly_RB,differently_RB,impressive_JJ,photo_NN,anyone_NN,wander_VB,anybody_NN,saw_VB,talented_JJ,smile_NN,continually_RB,info_NN,left_NN,dark_JJ,gray_JJ,dress_NN,down_RB,giant_JJ,let_VB,nobody_NN,definitely_RB,chart_NN,blue_JJ,always_RB,tall_JJ,photograph_NN,viewer_NN,hair_NN,everybody_NN,clothes_NN,just_RB,right_RB,actively_RB,interesting_JJ,buyer_NN,thing_NN,clock_NN,lens_NN,start_VB,identical_JJ,horizon_NN,clean_JJ,classic_JJ,dress_VB,seriously_RB,familiar_JJ,stuff_NN,everything_NN,client_NN,amazing_JJ,angle_NN,shoe_NN,perfect_JJ,alternative_NN,nose_NN,telescope_NN,straight_JJ,yellow_JJ,while_NN,alternative_JJ,bit_NN,screen_NN,up_RB,again_RB,cheap_JJ,somewhat_RB,flat_JJ,notice_VB,icon_NN,prospect_NN,first_RB,resume_VB,suddenly_RB,brown_JJ,painting_NN,investor_NN,green_JJ,camera_NN,bad_JJ,out_RB,everyone_NN,sign_NN,brief_JJ,increasingly_RB,slide_NN,see_VB,tiny_JJ,folk_NN,girl_NN,different_JJ,scene_NN,possibility_NN,accommodation_NN,crew_NN,map_NN,man_NN,job_NN,currently_RB,google_NN,actually_RB,researcher_NN,little_JJ,sit_VB,thin_JJ,slightly_RB,pattern_NN,busy_JJ,deep_JJ,stand_VB,close_RB,stop_VB,lot_NN,star_NN,page_NN,crowd_NN,white_JJ,much_RB,similar_JJ,lady_NN,old_JJ,boy_NN,else_RB,kid_NN,big_JJ,moment_NN,begin_VB,tourist_NN,graph_NN,somewhere_RB,place_NN,message_NN,young_JJ,apartment_NN,little_RB,front_JJ,dental_JJ,far_RB,trend_NN,kitchen_NN,website_NN,yard_NN,menu_NN,cloud_NN,whole_JJ,shadow_NN,next_JJ,detailed_JJ,drawing_NN,car_NN,expand_VB,engineer_NN,empty_JJ,black_JJ,tough_JJ,husband_NN,print_NN,color_NN,creative_JJ,image_NN,people_NN,actor_NN,landscape_NN,pair_NN,certainly_RB,moon_NN,garden_NN,investigator_NN,match_NN,opportunity_NN,ordinary_JJ,merely_RB"
