,Count,NN/JJ/VB/RB/MD,Descriptors
Auditory,23,0.57/0.3/0.09/0.04/0.0,"chord_NN,agreeable_JJ,humorous_JJ,irony_NN,humor_NN,percussion_NN,tone_NN,funny_JJ,subtle_JJ,lyric_NN,inappropriate_JJ,guitar_NN,sound_NN,occasional_JJ,hearing_NN,piano_NN,forbid_VB,offensive_JJ,anything_NN,somehow_RB,tale_NN,topic_NN,sound_VB"
Gustatory,5,0.6/0.2/0.2/0.0/0.0,"tasting_NN,taste_VB,taste_NN,sweet_JJ,flavor_NN"
Haptic,50,0.5/0.24/0.2/0.06/0.0,"fondling_NN,fondle_VB,lightness_NN,caress_VB,hug_VB,lightly_RB,tactile_JJ,kiss_VB,pad_NN,finger_NN,massage_NN,fingertip_NN,gently_RB,thigh_NN,elbow_NN,button_NN,delicate_JJ,warmth_NN,keyboard_NN,sensual_JJ,lifting_NN,rub_VB,sticky_JJ,soft_JJ,brush_VB,dial_NN,skin_NN,warm_JJ,flesh_NN,glove_NN,feel_NN,vibration_NN,cool_JJ,smooth_JJ,steering_NN,press_VB,hot_JJ,cold_JJ,feel_VB,reach_VB,rough_JJ,physically_RB,feeling_NN,brush_NN,arm_NN,surface_NN,felt_VB,pen_NN,dry_JJ,fabric_NN"
Interoceptive,36,0.56/0.31/0.08/0.06/0.0,"therapeutic_NN,stroke_VB,unwelcome_JJ,healing_NN,sensation_NN,zen_NN,deeply_RB,therapeutic_JJ,tender_NN,nerve_NN,intimate_JJ,unwanted_JJ,thoughtful_JJ,romance_NN,emotion_NN,heart_NN,soul_NN,sensitive_JJ,affection_NN,trigger_NN,consciousness_NN,conscience_NN,painful_JJ,loving_JJ,personal_JJ,stretch_VB,breath_NN,never_RB,breathe_VB,sense_NN,hunger_NN,sensitivity_NN,imagination_NN,pride_NN,sexual_JJ,infectious_JJ"
Olfactory,3,0.67/0.0/0.33/0.0/0.0,"smell_NN,smell_VB,scent_NN"
Visual,170,0.64/0.17/0.11/0.08/0.0,"finishing_JJ,lewd_JJ,cognizable_JJ,typist_NN,genitals_NN,inappropriately_RB,briefly_NN,forehead_NN,gentle_JJ,briefly_RB,barely_RB,tornado_NN,penis_NN,feminine_JJ,stay_VB,lip_NN,toe_NN,elegance_NN,nice_JJ,cheek_NN,screen_NN,tongue_NN,kiosk_NN,finish_VB,classmate_NN,nose_NN,vagina_NN,luxurious_JJ,sight_NN,decor_NN,droplet_NN,angel_NN,accidentally_RB,scarcely_RB,shoulder_NN,posture_NN,keep_VB,magic_JJ,biotechnology_NN,dare_VB,gesture_NN,evil_NN,contaminate_VB,ball_NN,kindness_NN,profoundly_RB,light_JJ,rim_NN,thumb_NN,flame_NN,shutter_NN,reality_NN,lose_VB,clever_JJ,sterile_JJ,smile_NN,knee_NN,put_VB,countless_JJ,hand_NN,mosquito_NN,sensory_JJ,spark_VB,stimulus_NN,lovely_JJ,hardly_RB,stranger_NN,inside_NN,tragedy_NN,raw_JJ,wash_VB,comic_JJ,bare_JJ,stay_NN,elegant_JJ,slight_JJ,garment_NN,leg_NN,lend_VB,genius_NN,metal_NN,tech_NN,paint_NN,close_JJ,golden_JJ,pleasant_JJ,mouth_NN,jar_NN,intentional_JJ,hair_NN,inner_JJ,breast_NN,tip_NN,ground_NN,hat_NN,foot_NN,nobody_NN,strip_NN,digit_NN,face_NN,humanity_NN,tribute_NN,wire_NN,basket_NN,ceiling_NN,base_NN,sexually_RB,get_VB,literally_RB,life_NN,light_VB,glance_NN,add_VB,blade_NN,everything_NN,football_NN,sit_VB,palm_NN,floor_NN,aspect_NN,melt_VB,wheel_NN,neck_NN,constant_JJ,personally_RB,compassion_NN,ear_NN,grace_NN,manipulate_VB,close_RB,bend_VB,pin_NN,back_NN,object_NN,drop_VB,friend_NN,sensor_NN,customer_NN,edge_NN,someone_NN,portrait_NN,spot_NN,theme_NN,final_JJ,plane_NN,drama_NN,body_NN,virtually_RB,infected_JJ,mine_NN,mouse_NN,fellow_JJ,reproduction_NN,bottom_NN,human_JJ,shooting_NN,shake_VB,everywhere_RB,point_NN,probe_NN,essence_NN,almost_RB,moment_NN,circle_NN,silver_NN,wall_NN,cap_NN,sky_NN,clothes_NN,somebody_NN"
