,Count,NN/JJ/VB/RB/MD,Descriptors
Auditory,119,0.69/0.03/0.24/0.04/0.0,"gunshot_NN,scream_NN,rustling_NN,muffle_VB,rumble_VB,roar_NN,pretrial_JJ,deafness_NN,adjourn_VB,gunfire_NN,footstep_NN,murmur_NN,siren_NN,rumor_NN,whisper_NN,loud_JJ,bark_VB,teleconference_NN,groan_VB,sentencing_NN,say_NN,thunder_NN,testimony_NN,voice_NN,congressional_JJ,sound_NN,appeal_NN,whistle_VB,testify_VB,sermon_NN,subcommittee_NN,noise_NN,shout_VB,whisper_VB,adjudication_NN,sigh_NN,scream_VB,echo_NN,loudly_RB,yell_VB,impeachment_NN,congressional_NN,plea_NN,confession_NN,singing_NN,aloud_RB,postpone_VB,echo_VB,unanimously_RB,listener_NN,laughter_NN,complaint_NN,argument_NN,speech_NN,sing_VB,chorus_NN,buzz_NN,counsel_NN,story_NN,arbitration_NN,laugh_NN,song_NN,preach_VB,tale_NN,melody_NN,click_NN,caller_NN,shot_NN,allegation_NN,knock_VB,accent_NN,thou_NN,talk_NN,horn_NN,request_VB,remark_NN,complain_VB,gospel_NN,explosion_NN,phrase_NN,rarely_RB,tone_NN,prayer_NN,respondent_NN,objection_NN,radio_NN,tune_NN,whenever_NN,affirm_VB,beat_NN,bell_NN,swear_VB,comment_NN,speaking_NN,about_RB,music_NN,anything_NN,speak_VB,speaker_NN,briefing_NN,joke_NN,conversation_NN,lyric_NN,silence_NN,praise_VB,sound_VB,excuse_NN,listen_VB,inquiry_NN,profound_JJ,request_NN,laugh_VB,dismiss_VB,deny_VB,pitch_NN,recording_NN,discourse_NN,talk_VB,reply_NN"
Gustatory,3,0.67/0.0/0.33/0.0/0.0,"tasting_NN,taste_VB,taste_NN"
Haptic,3,0.33/0.0/0.67/0.0/0.0,"hard_NN,hold_VB,touch_VB"
Interoceptive,28,0.29/0.36/0.29/0.07/0.0,"impairment_NN,heartbeat_NN,glad_JJ,shock_VB,loss_NN,never_RB,delighted_JJ,sorry_JJ,lately_RB,breathing_NN,contempt_NN,anxious_JJ,tired_JJ,fair_JJ,dependency_NN,curious_JJ,eager_JJ,love_VB,like_VB,nerve_NN,strange_JJ,sad_JJ,appreciate_VB,want_VB,wait_VB,await_VB,nothing_NN,relieve_VB"
Olfactory,2,0.5/0.0/0.5/0.0/0.0,"smell_VB,smell_NN"
Visual,126,0.59/0.14/0.15/0.11/0.01,"examiner_NN,conductive_JJ,deaf_NN,formal_NN,deaf_JJ,permanency_NN,impair_VB,preliminary_JJ,cry_NN,suppression_NN,bail_NN,confirmation_NN,disciplinary_JJ,reschedule_VB,expedite_VB,panel_NN,contest_VB,administrative_NN,parole_NN,disciplinary_NN,reinstatement_NN,transcript_NN,impartial_JJ,distinctly_RB,convene_VB,grievance_NN,cry_VB,schedule_VB,preside_VB,faint_JJ,have_NN,administrative_JJ,tire_VB,jurisdiction_NN,judiciary_NN,ear_NN,tribunal_NN,surprise_VB,motion_NN,witness_NN,surprised_JJ,horror_NN,outset_NN,judge_NN,notice_NN,aid_NN,before_RB,pending_VB,magistrate_NN,oral_JJ,courtroom_NN,judicial_NN,ever_RB,juror_NN,senate_NN,court_NN,officer_NN,seldom_RB,competency_NN,jury_NN,supreme_NN,closed_JJ,commencement_NN,merit_NN,committee_NN,sight_NN,petitioner_NN,proceed_VB,proceeding_NN,pursuant_JJ,prior_RB,conclude_VB,anybody_NN,conduct_VB,probable_JJ,judicial_JJ,commence_VB,public_JJ,word_NN,constituent_NN,mobility_NN,oversight_NN,conclusion_NN,formal_JJ,evidence_NN,attend_VB,yesterday_NN,repeatedly_RB,mail_VB,waive_VB,anyone_NN,suddenly_RB,petition_NN,someone_NN,nobody_NN,keen_JJ,date_NN,trial_NN,termination_NN,news_NN,dismissal_NN,interested_JJ,distant_JJ,dog_NN,suspension_NN,custody_NN,warrant_VB,forward_RB,shall_MD,matter_NN,misconduct_NN,shortly_RB,wednesday_NN,vision_NN,promptly_RB,barely_RB,tuesday_NN,claimant_NN,attendee_NN,again_RB,commissioner_NN,disposition_NN,brief_NN,tape_NN,accordingly_RB,first_RB"
