,Count,NN/JJ/VB/RB/MD,Descriptors
Auditory,28,0.11/0.11/0.36/0.39/0.04,"intimidate_VB,oblige_VB,evoke_VB,welcome_JJ,gratitude_NN,bless_VB,empower_VB,threaten_VB,somehow_RB,stupid_JJ,please_VB,really_RB,guess_VB,funny_JJ,convey_VB,sometimes_RB,ought_MD,very_RB,quite_RB,anything_NN,respondent_NN,though_RB,too_RB,no_RB,so_RB,comment_VB,about_RB,maybe_RB"
Gustatory,1,1.0/0.0/0.0/0.0/0.0,taste_NN
Haptic,18,0.39/0.44/0.11/0.06/0.0,"pinch_NN,warmth_NN,warm_JJ,contact_VB,pulse_NN,touch_NN,physically_RB,cold_JJ,touch_VB,sharp_JJ,soft_JJ,skin_NN,cool_JJ,heat_NN,finger_NN,heavy_JJ,solid_JJ,hot_JJ"
Interoceptive,133,0.42/0.38/0.13/0.05/0.02,"nauseous_JJ,dizzy_JJ,helplessness_NN,uncomfortable_JJ,uneasy_JJ,comfortable_JJ,embarrassed_JJ,powerless_JJ,relieved_JJ,numb_JJ,compel_VB,ashamed_JJ,unpleasant_JJ,remorse_NN,insecure_JJ,sadness_NN,lonely_JJ,overwhelm_VB,depressed_JJ,urge_NN,frustrated_JJ,sorry_JJ,guilt_NN,gut_NN,tired_JJ,hopeless_JJ,resentment_NN,alienate_VB,sensation_NN,guilty_JJ,awkward_JJ,shame_NN,anxious_JJ,sad_JJ,confused_JJ,emotion_NN,anger_NN,frustration_NN,discomfort_NN,sympathy_NN,angry_JJ,sorrow_NN,hurt_VB,lucky_JJ,weird_JJ,ease_NN,anxiety_NN,terrible_JJ,despair_NN,painful_JJ,unhappy_JJ,calm_JJ,emotionally_RB,relax_VB,pain_NN,strange_JJ,disappointment_NN,satisfied_JJ,deeply_RB,contraction_NN,thought_NN,pride_NN,stomach_NN,excitement_NN,sick_JJ,grief_NN,badly_RB,intense_JJ,overwhelming_JJ,hungry_JJ,joy_NN,shock_NN,proud_JJ,hatred_NN,grateful_JJ,ill_JJ,happy_JJ,nervous_JJ,wake_VB,fear_NN,mood_NN,pleasure_NN,prepared_JJ,alive_JJ,happiness_NN,consciousness_NN,breath_NN,afraid_JJ,sudden_JJ,sense_NN,pressure_NN,truly_RB,honor_VB,self_NN,tension_NN,depression_NN,love_NN,genuine_JJ,belong_VB,satisfaction_NN,comfort_NN,earthquake_NN,emotional_JJ,weak_JJ,wonderful_JJ,never_RB,need_NN,stress_VB,relief_NN,passion_NN,desire_NN,trust_VB,arise_VB,positive_JJ,soul_NN,love_VB,superior_JJ,could_MD,imagine_VB,extremely_RB,do_VB,stress_NN,mind_NN,obligation_NN,remember_VB,might_MD,confidence_NN,loss_NN,often_RB,being_NN,appreciate_VB,wonder_VB,heart_NN"
Olfactory,1,0.0/0.0/1.0/0.0/0.0,smell_VB
Visual,110,0.24/0.3/0.24/0.23/0.0,"helpless_JJ,keenly_RB,confident_JJ,betray_VB,pleasant_JJ,obligate_VB,pity_NN,unsafe_JJ,strongly_RB,cheat_VB,fortunate_JJ,connected_JJ,privileged_JJ,email_VB,look_NN,free_JJ,trap_VB,compassion_NN,secure_JJ,safe_JJ,awful_JJ,constrain_VB,isolation_NN,exhaust_VB,isolate_VB,dad_NN,isolated_JJ,suddenly_RB,express_VB,rush_VB,perception_NN,slight_JJ,personally_RB,mix_VB,value_VB,bad_JJ,neutral_JJ,odd_JJ,differently_RB,vulnerable_JJ,chest_NN,mixed_JJ,pretty_RB,somewhat_RB,inadequate_JJ,good_JJ,deserve_VB,deep_JJ,bit_NN,accomplishment_NN,totally_RB,strong_JJ,competent_JJ,something_NN,definitely_RB,experience_VB,alone_RB,right_RB,cry_VB,leg_NN,inner_JJ,presence_NN,negative_JJ,empty_JJ,always_RB,slightly_RB,still_RB,everyone_NN,shake_VB,little_JJ,bind_VB,perfectly_RB,amazing_JJ,everybody_NN,moment_NN,unable_JJ,familiar_JJ,enough_JJ,someone_NN,absolutely_RB,body_NN,nice_JJ,make_VB,ready_JJ,completely_RB,abandon_VB,participant_NN,mother_NN,respect_VB,while_NN,overcome_VB,begin_VB,almost_RB,lack_VB,leave_VB,more_RB,enough_RB,home_NN,longer_RB,ever_RB,people_NN,way_NN,around_RB,much_RB,share_VB,sort_NN,just_RB,start_VB,kid_NN,parent_NN"
