,Count,NN/JJ/VB/RB/MD,Descriptors
Auditory,13,0.23/0.46/0.31/0.0/0.0,"disagreeable_JJ,agreeable_JJ,musical_JJ,sound_VB,intellect_NN,sound_NN,questionable_JJ,hearing_NN,offend_VB,forbid_VB,funny_JJ,appeal_VB,subjective_JJ"
Gustatory,111,0.81/0.14/0.05/0.0/0.0,"saltiness_NN,salty_NN,tangy_JJ,seasoning_NN,bitter_JJ,sour_JJ,margarita_NN,pepper_NN,savor_VB,wine_NN,sweeten_VB,tart_JJ,delicious_JJ,sweet_JJ,bland_JJ,salt_NN,sweetness_NN,spicy_NN,treat_NN,appetizer_NN,mango_NN,salsa_NN,curry_VB,cuisine_NN,flavor_NN,sauce_NN,delicacy_NN,creamy_JJ,gourmet_NN,nutritious_JJ,broth_NN,culinary_JJ,edible_JJ,lemon_NN,honey_NN,steak_NN,chocolate_NN,cheese_NN,champagne_NN,stew_NN,fried_JJ,pastry_NN,barbecue_NN,beer_NN,soup_NN,cherry_NN,bitterness_NN,sausage_NN,pie_NN,vinegar_NN,salad_NN,spice_NN,strawberry_NN,sandwich_NN,palate_NN,garlic_NN,cake_NN,chicken_NN,tea_NN,seafood_NN,olive_JJ,pizza_NN,tomato_NN,mustard_NN,dessert_NN,citrus_NN,snack_NN,coke_NN,cooking_NN,juice_NN,cream_NN,fresh_JJ,mild_JJ,pasta_NN,meat_NN,sweet_NN,food_NN,bread_NN,carrot_NN,pork_NN,herbal_JJ,coffee_NN,fruit_NN,bean_NN,vegetable_NN,potato_NN,beverage_NN,cocktail_NN,candy_NN,nicotine_NN,meal_NN,sugar_NN,banana_NN,drink_NN,apple_NN,eating_NN,berry_NN,drinking_NN,liquor_NN,milk_NN,butter_NN,onion_NN,eat_VB,rice_NN,herb_NN,beef_NN,drink_VB,nut_NN,salmon_NN,calorie_NN,nutrition_NN"
Haptic,11,0.45/0.36/0.18/0.0/0.0,"tactile_JJ,texture_NN,touch_NN,touch_VB,flesh_NN,crisp_JJ,rib_NN,delicate_JJ,tap_VB,smooth_JJ,feel_NN"
Interoceptive,30,0.6/0.17/0.2/0.03/0.0,"aversion_NN,unpleasant_JJ,sensation_NN,gratification_NN,delight_VB,dislike_VB,vomiting_NN,wonderfully_RB,tender_NN,refreshing_JJ,sensibility_NN,indulge_VB,swallow_VB,irritation_NN,craving_NN,appetite_NN,nausea_NN,habit_NN,delight_NN,enjoyment_NN,imagination_NN,drunk_JJ,satisfy_VB,sentiment_NN,enjoy_VB,pleasure_NN,mood_NN,strange_JJ,wonderful_JJ,consciousness_NN"
Olfactory,16,0.62/0.19/0.12/0.06/0.0,"smell_NN,smell_VB,acrid_JJ,fishy_JJ,aroma_NN,odor_NN,pungent_JJ,freshness_NN,scent_NN,cook_VB,freshly_RB,chlorine_NN,cigar_NN,smoke_NN,cook_NN,cigarette_NN"
Visual,111,0.46/0.33/0.19/0.02/0.0,"cognizable_JJ,bud_NN,morsel_NN,impeccable_JJ,foul_JJ,eclectic_JJ,metallic_JJ,vile_JJ,refined_JJ,brew_NN,tongue_NN,winery_NN,discriminate_VB,earthy_JJ,homemade_NN,decency_NN,discerning_JJ,exquisite_JJ,cater_VB,suit_VB,burger_NN,mouth_NN,dish_NN,objectionable_JJ,disgusting_JJ,lobster_NN,impart_VB,nasty_JJ,elegance_NN,chef_NN,upscale_JJ,horrible_JJ,sight_NN,decor_NN,chew_VB,pleasant_JJ,lamb_NN,refinement_NN,awful_JJ,shit_NN,spectator_NN,temperament_NN,recipe_NN,preference_NN,linger_VB,vineyard_NN,tempt_VB,authentic_JJ,exotic_JJ,fry_NN,bad_JJ,fare_NN,blind_JJ,menu_NN,stimulus_NN,mushroom_NN,aesthetic_JJ,undesirable_JJ,appealing_JJ,distinctive_JJ,nose_NN,acquire_VB,stuff_VB,nutritional_JJ,refine_VB,cultivate_VB,condition_VB,boil_VB,alteration_NN,ingredient_NN,bite_VB,season_NN,sensory_JJ,simplicity_NN,blend_VB,receptor_NN,artistic_JJ,chaos_NN,grand_NN,varied_JJ,nicely_RB,adventure_NN,adjust_VB,good_JJ,dress_VB,powder_NN,suit_NN,slightly_RB,convenience_NN,inexpensive_JJ,dress_NN,literary_JJ,neuron_NN,impression_NN,throat_NN,sacrifice_VB,turkey_NN,harsh_JJ,lifestyle_NN,sample_VB,raw_JJ,decorate_VB,characteristic_JJ,luxury_NN,lip_NN,cup_NN,rich_JJ,melt_VB,sampling_NN,specialty_NN,unusual_JJ"
