,OlfN,TotalN,Tokens,OAI,OSI
first_JJ,221,298610,['first_JJ'],-10.400000395014947,7.742412326086998
wine_NN,525,14439,"['wine_NN', 'wine_NNS', 'wine_NNP']",-4.781509596132543,6.494141272924945
flavor_NN,101,6424,"['flavor_NNS', 'flavor_NN']",-5.991044694765519,8.872103402726635
slightly_RB,47,18185,['slightly_RB'],-8.595872453665342,9.975726033800793
sweet_JJ,177,7186,"['sweet_JJ', 'sweet_JJR', 'sweet_JJS']",-5.343367669919167,8.062709335395432
retain_VB,8,20393,"['retain_VBZ', 'retain_VBN', 'retain_VB', 'retain_VBG']",-11.315786404377047,12.53031488547843
cooking_NN,35,5490,['cooking_NN'],-7.293307416947594,10.401031868533464
might_MD,50,148989,['might_MD'],-11.540990103730255,9.886458695703706
turn_VB,18,76051,"['turn_VBN', 'turn_VBZ', 'turn_VBD', 'turn_VB', 'turn_VBP']",-12.04475459628118,11.360389884036117
do_VB,410,1263826,"['do_VBP', 'do_VBD', 'do_VBZ', 'do_VB', 'do_VBN', 'do_VBG']",-11.589886320820453,6.8508347859729835
not_RB,516,1598943,['not_RB'],-11.597459823649078,6.519087630055176
share_VB,35,72701,"['share_VB', 'share_VBP', 'share_VBG', 'share_VBD', 'share_VBZ', 'share_VBN']",-11.02040457111137,10.401031868533464
become_VB,55,229440,"['become_VB', 'become_VBZ', 'become_VBD', 'become_VBG', 'become_VBP', 'become_VBN']",-12.026397690064607,9.74895517195377
salty_NN,40,491,['salty_NN'],-3.6176511194273306,10.208386790591067
regular_JJ,10,38418,['regular_JJ'],-11.907566700459238,12.208386790591067
soup_NN,35,3440,"['soup_NNS', 'soup_NN', 'soup_NNP']",-6.618909832644494,10.401031868533464
health_NN,38,158784,['health_NN'],-12.028778506448845,10.282387372034844
bad_JJ,365,64526,"['bad_JJ', 'bad_JJS', 'bad_JJR']",-7.4658403206268735,7.0185622317110505
decision_NN,9,116897,"['decision_NNS', 'decision_NN']",-13.66495337856416,12.360389884036117
texture_NN,118,7943,"['texture_NN', 'texture_NNS']",-6.07282523859798,8.647671836116588
strong_JJ,65,80333,"['strong_JJR', 'strong_JJ']",-10.271337320843541,9.507947072449975
then_RB,84,329810,['then_RB'],-11.938958194313633,9.13799746269967
use_VB,78,746425,"['use_VBG', 'use_VB', 'use_VBN', 'use_VBP', 'use_VBD', 'use_VBZ']",-13.224235562734242,9.244912666616182
dinner_NN,20,13723,"['dinner_NN', 'dinner_NNS']",-9.4223801897883,11.208386790591067
look_VB,102,200169,"['look_VB', 'look_VBP', 'look_VBD', 'look_VBZ', 'look_VBG']",-10.93843369500467,8.857889543506934
dress_VB,21,7926,"['dress_VBG', 'dress_VB', 'dress_VBN', 'dress_VBD']",-8.560059829189223,11.13799746269967
should_MD,61,429613,['should_MD'],-12.781940786509558,9.599577547915544
milk_NN,43,13994,['milk_NN'],-8.346256021612657,10.104050130776331
home_NN,51,160172,"['home_NN', 'home_NNP', 'home_NNS']",-11.616837101736618,9.857889543506934
county_NN,9,87945,"['county_NN', 'county_NNP']",-13.254388935562678,12.360389884036117
price_NN,25,75979,"['price_NN', 'price_NNS']",-11.569456913826425,10.886458695703706
great_JJ,190,213398,"['great_JJ', 'great_JJR', 'great_JJS']",-10.133331521164159,7.960459277147482
check_VB,15,30735,['check_VB'],-11.000704269011246,11.623424289869911
seem_VB,64,124676,"['seem_VBZ', 'seem_VBP', 'seem_VBD', 'seem_VB', 'seem_VBG']",-10.92782424904004,9.53031488547843
carrot_NN,8,1660,"['carrot_NNS', 'carrot_NN']",-7.696967526234287,12.53031488547843
plant_NN,28,84024,"['plant_NNS', 'plant_NN']",-11.551158925092057,10.722959963420825
odor_NN,122,3374,"['odor_NN', 'odor_NNS', 'odor_NNP']",-4.789506920724679,8.599577547915544
provide_VB,82,540379,"['provide_VBZ', 'provide_VBP', 'provide_VB', 'provide_VBG', 'provide_VBN', 'provide_VBD']",-12.686060080114194,9.172762880860347
just_RB,235,295583,['just_RB'],-10.296686825363441,7.6537979389134305
want_VB,88,228853,"['want_VBP', 'want_VBZ', 'want_VB', 'want_VBD', 'want_VBG']",-11.344630059937147,9.070883266841133
bean_NN,22,4805,"['bean_NNS', 'bean_NN']",-7.770889097023815,11.070883266841133
distinct_JJ,22,12806,['distinct_JJ'],-9.185100675988148,11.070883266841133
add_VB,110,127342,"['add_VBD', 'add_VB', 'add_VBP', 'add_VBN', 'add_VBG', 'add_VBZ']",-10.176989089013802,8.74895517195377
benefit_NN,14,96075,"['benefit_NNS', 'benefit_NN']",-12.744518528779924,11.722959963420825
fan_NN,14,17615,"['fan_NNS', 'fan_NN']",-10.297161932324721,11.722959963420825
satisfy_VB,52,18764,"['satisfy_VB', 'satisfy_VBG', 'satisfy_VBN', 'satisfy_VBP', 'satisfy_VBZ']",-8.495240067354889,9.829875167337338
turkey_NN,15,6255,"['turkey_NN', 'turkey_NNP']",-8.703903573444665,11.623424289869911
especially_RB,39,80509,['especially_RB'],-11.01146022999637,10.244912666616182
white_JJ,30,43787,['white_JJ'],-10.511324393051309,10.623424289869911
meat_NN,77,13760,"['meat_NN', 'meat_NNS']",-7.481406308894559,9.263528344783529
whole_JJ,19,52919,['whole_JJ'],-11.443570665653823,11.282387372034844
cover_VB,19,79862,"['cover_VB', 'cover_VBP', 'cover_VBG', 'cover_VBZ', 'cover_VBD', 'cover_VBN']",-12.037294068228988,11.282387372034844
day_NN,73,295675,"['day_NNS', 'day_NN', 'day_NNP']",-11.98382818099417,9.340490326598413
bit_NN,69,47515,"['bit_NN', 'bit_NNS']",-9.427570952202723,9.42179042870026
western_JJ,21,31486,['western_JJ'],-10.55010544505666,11.13799746269967
least_JJ,32,109037,['least_JJS'],-11.734458248509679,10.53031488547843
beverage_NN,24,5457,"['beverage_NNS', 'beverage_NN', 'beverage_NNP']",-7.8289298276514865,10.945352384757273
way_NN,98,328219,"['way_NNS', 'way_NN']",-11.709589386578376,8.915605041363222
such_JJ,108,456483,['such_JJ'],-12.045314105708743,8.77542738331496
testing_NN,10,35706,['testing_NN'],-11.801950808297907,12.208386790591067
come_VB,97,296673,"['come_VBN', 'come_VBD', 'come_VBZ', 'come_VB', 'come_VBP', 'come_VBG']",-11.578601266386428,8.930402043291302
fact_NN,30,144749,"['fact_NN', 'fact_NNS']",-12.23630326020326,10.623424289869911
expensive_JJ,26,19598,['expensive_JJ'],-9.55797909445774,10.829875167337338
cheese_NN,55,4757,"['cheese_NN', 'cheese_NNP', 'cheese_NNS']",-6.434476596437795,9.74895517195377
heat_NN,13,22046,"['heat_NN', 'heat_NNP']",-10.727789580064004,11.829875167337338
education_NN,16,162928,"['education_NN', 'education_NNS']",-13.313875034039125,11.53031488547843
woman_NN,31,202367,"['woman_NNS', 'woman_NN']",-12.67241821288683,10.576118575091554
