,OlfN,TotalN,Tokens,OAI,OSI
odour_NN,19,373,"['odour_NN', 'odour_NNS']",-4.295104306811652,9.904832655331814
someone_NN,13,52973,['someone_NN'],-11.992529875963326,10.452320450634307
shape_NN,9,25926,"['shape_NN', 'shape_NNS']",-11.492187014868577,10.982835167333088
machine_NN,9,52750,"['machine_NN', 'machine_NNS']",-12.51695847192696,10.982835167333088
emanate_VB,16,1257,"['emanate_VBG', 'emanate_VBD', 'emanate_VBZ', 'emanate_VB']",-6.295768934420508,10.1527601687754
corps_NN,9,724,['corps_NNS'],-6.3299208856408935,10.982835167333088
noisy_JJ,12,2086,['noisy_JJ'],-7.44156094179861,10.567797668054244
cheese_NN,16,4757,"['cheese_NN', 'cheese_NNS', 'cheese_NNP']",-8.215836309962455,10.1527601687754
carry_VB,10,70346,"['carry_VBN', 'carry_VB', 'carry_VBZ', 'carry_VBD', 'carry_VBG']",-12.780252676222986,10.830832073888038
lovely_JJ,15,4248,"['lovely_JJ', 'lovely_JJR']",-8.145677455195635,10.245869573166882
fetid_JJ,9,102,['fetid_JJ'],-3.502500340529183,10.982835167333088
damp_JJ,21,1202,['damp_JJ'],-5.838903757932425,9.76044274599664
thick_JJ,13,8180,['thick_JJ'],-9.297445409688018,10.452320450634307
dirt_NN,13,3689,['dirt_NN'],-8.148574355553727,10.452320450634307
life_NN,16,186952,['life_NN'],-13.512308379570566,10.1527601687754
open_JJ,10,70925,['open_JJ'],-12.79207853016172,10.830832073888038
produce_VB,20,79240,"['produce_VBG', 'produce_VBZ', 'produce_VB', 'produce_VBP', 'produce_VBD']",-11.952013164889486,9.830832073888038
stand_VB,13,53969,"['stand_VBD', 'stand_VB', 'stand_VBG', 'stand_VBP', 'stand_VBZ']",-12.019403617045631,10.452320450634307
offer_VB,10,150037,"['offer_VBN', 'offer_VBZ', 'offer_VB', 'offer_VBG']",-13.873030701164586,10.830832073888038
mouth_NN,18,13406,"['mouth_NN', 'mouth_NNS']",-9.540666217064443,9.982835167333088
