,OlfN,TotalN,Tokens,OAI,OSI
listener_NN,103,5330,"['listener_NN', 'listener_NNS']",-5.69341929046332,11.744588943499384
complete_JJ,56,50663,['complete_JJ'],-9.821289965986727,12.623734548624999
distinctly_RB,58,1992,['distinctly_RB'],-5.102020936940509,12.57310847555503
december_NN,111,25522,['december_NNP'],-7.8450379017466325,11.636673604332497
occur_VB,173,91366,"['occur_VB', 'occur_VBG', 'occur_VBN', 'occur_VBZ', 'occur_VBD', 'occur_VBP']",-9.044741547425367,10.996461243045877
list_VB,81,38351,"['list_VBN', 'list_VBD', 'list_VBG', 'list_VB', 'list_VBZ']",-8.887126573069217,12.091239467797978
either_RB,63,26795,['either_RB'],-8.73239627209874,12.453809547182686
forget_VB,37,19790,"['forget_VBP', 'forget_VB', 'forget_VBN', 'forget_VBD']",-9.063030626305924,13.221636105053653
role_NN,60,110562,"['role_NNS', 'role_NN', 'role_NNP']",-10.847605497387654,12.524198875074083
low_JJ,90,125850,"['low_JJ', 'low_JJR', 'low_JJS']",-10.44949259460603,11.939236374352927
version_NN,97,57440,"['version_NN', 'version_NNS']",-9.209855286523286,11.831176628495475
enter_VB,101,70706,"['enter_VBD', 'enter_VB', 'enter_VBZ', 'enter_VBG', 'enter_VBP', 'enter_VBN']",-9.451333541860057,11.772877987930807
join_VB,42,53162,"['join_VBG', 'join_VBD', 'join_VBN', 'join_VBP', 'join_VB', 'join_VBZ']",-10.305790337829578,13.038772047903842
frequency_NN,67,20810,"['frequency_NN', 'frequency_NNS', 'frequency_NNP']",-8.278900154164925,12.36500028022483
announcement_NN,54,12225,"['announcement_NN', 'announcement_NNS', 'announcement_NNP']",-7.82265934256349,12.676201968519134
instance_NN,83,40976,"['instance_NN', 'instance_NNS', 'instance_NNP']",-8.947452106250543,12.056050039335677
water_NN,103,163187,"['water_NN', 'water_NNP', 'water_NNS']",-10.629666079424798,11.744588943499384
nerve_NN,87,8024,"['nerve_NN', 'nerve_NNS']",-6.527162394763452,11.988145974833873
relieve_VB,37,5015,"['relieve_VB', 'relieve_VBN', 'relieve_VBD', 'relieve_VBZ']",-7.082580619870593,13.221636105053653
eventually_RB,40,27052,['eventually_RB'],-9.401519543535555,13.10916137579524
crowd_NN,64,12157,"['crowd_NN', 'crowd_NNS']",-7.569499636365276,12.431089470682602
wind_NN,43,23346,"['wind_NN', 'wind_NNP', 'wind_NNS']",-9.084623010991914,13.004824715980504
pleasure_NN,49,11866,"['pleasure_NN', 'pleasure_NNS']",-7.919836223344784,12.816379626567395
device_NN,69,60243,"['device_NNS', 'device_NN', 'device_NNP', 'device_NNPS']",-9.769981538354747,12.322565013904434
lecture_VB,54,10250,"['lecture_VBZ', 'lecture_VB', 'lecture_VBG', 'lecture_VBP']",-7.568448787116702,12.676201968519134
project_NN,116,227948,"['project_NNS', 'project_NN', 'project_NNP']",-10.940364230460855,11.57310847555503
heavy_JJ,43,21084,['heavy_JJ'],-8.937596222027434,13.004824715980504
function_NN,88,89107,"['function_NN', 'function_NNS']",-9.983819531252013,11.971657852045304
signal_NN,54,27632,"['signal_NN', 'signal_NNS']",-8.999164865365456,12.676201968519134
cd_NN,45,14554,"['cd_NN', 'cd_NNP', 'cd_NNS']",-8.337274999038868,12.939236374352927
