,Unnamed: 0,OlfN,TotalN,Tokens,OAI,OSI
0,askance_RB,76,91,['askance_RB'],-0.259867127,12.94035224
12,in-depth_JJ,302,5963,['in-depth_JJ'],-4.303417882,10.94987501
24,'re_VB,4486,127149,"[""'re_VBP""]",-4.824946685,7.0570658470000005
50,'m_VB,1742,75959,"[""'m_VBP""]",-5.446404383,8.421750843
74,'ll_MD,1275,72720,"[""'ll_MD""]",-5.833783047000001,8.87199822
139,'d_MD,588,51923,"[""'d_MD""]",-6.464413776000001,9.988607407
195,'ve_VB,1011,106163,"[""'ve_VBP"", ""'ve_VB""]",-6.714354237,9.20671247
225,n't_RB,4249,485391,"[""n't_RB""]",-6.835880205,7.135372124
261,hr_NN,77,9530,"['hr_NNP', 'hr_NN', 'hr_NNS']",-6.951473957999999,12.92149321
