,OlfN,TotalN,Tokens,OAI,OSI
happen_VB,2074,74808,"['happen_VB', 'happen_VBZ', 'happen_VBG', 'happen_VBD', 'happen_VBN', 'happen_VBP']",-5.172704762,8.965821847
sign_NN,943,34382,"['sign_NNS', 'sign_NN', 'sign_NNP']",-5.188251888,10.10290807
around_RB,340,12700,['around_RB'],-5.22314994,11.57463109
light_NN,1327,50230,"['light_NN', 'light_NNS', 'light_NNP']",-5.242308999,9.610069371
detail_NN,1520,58004,"['detail_NNS', 'detail_NN', 'detail_NNP']",-5.254009164,9.414166418
can_MD,26329,1016448,['can_MD'],-5.270739873,5.299656919
page_NN,2513,97949,"['page_NNS', 'page_NN', 'page_NNP']",-5.284548187,8.68882707
happy_JJ,635,25051,"['happy_JJ', 'happy_JJR', 'happy_JJS']",-5.301967793,10.67340924
buddha_NN,411,16237,"['buddha_NNP', 'buddha_NN', 'buddha_NNPS', 'buddha_NNS']",-5.304002896,11.30102744
want_VB,5844,231443,"['want_VBP', 'want_VB', 'want_VBD', 'want_VBZ', 'want_VBN', 'want_VBG']",-5.307556941,7.471281563
dramatic_JJ,300,11953,['dramatic_JJ'],-5.316266445,11.75520334
again_RB,2475,98799,['again_RB'],-5.318996009,8.710809216
n't_RB,11897,485391,"[""n't_RB""]",-5.35047763,6.445711823
v_NN,225,9196,"['v_NNP', 'v_NN', 'v_NNS']",-5.35300956,12.17024083
nobody_NN,211,8681,"['nobody_NN', 'nobody_NNS']",-5.362546338,12.26292284
chance_NN,941,39292,"['chance_NN', 'chance_NNS', 'chance_NNP']",-5.383897071,10.10597111
nice_JJ,491,20786,"['nice_JJ', 'nice_JJR', 'nice_JJS']",-5.403745322,11.04444281
shadow_NN,236,10015,"['shadow_NNS', 'shadow_NN', 'shadow_NNP', 'shadow_NNPS']",-5.407231751,12.10137898
smoke_NN,218,9434,"['smoke_NN', 'smoke_NNP']",-5.435469561,12.2158377
sec_NN,163,7078,"['sec_NN', 'sec_NNP', 'sec_NNS']",-5.440397892,12.63529387
sky_NN,308,13429,"['sky_NN', 'sky_NNS', 'sky_NNP']",-5.446277716,11.71723549
advertisement_NN,159,7047,"['advertisement_NN', 'advertisement_NNS', 'advertisement_NNP']",-5.469910543,12.67113907
observer_NN,195,8657,"['observer_NNS', 'observer_NN', 'observer_NNP']",-5.47232113,12.37669171
tv_NN,527,23410,"['tv_NN', 'tv_NNP', 'tv_NNS']",-5.473178162,10.94236287
thing_NN,4155,184672,"['thing_NNS', 'thing_NN', 'thing_NNP']",-5.473972854,7.963389264
cloud_NN,249,11076,"['cloud_NN', 'cloud_NNS']",-5.475147406,12.02402009
chapter_NN,890,39847,"['chapter_NN', 'chapter_NNS', 'chapter_NNP']",-5.484521964,10.1863605
attachment_NN,202,9147,"['attachment_NN', 'attachment_NNP', 'attachment_NNS']",-5.500871453,12.32581054
anyone_NN,1006,45595,"['anyone_NN', 'anyone_NNP']",-5.502173415,10.00960744
somebody_NN,160,7259,['somebody_NN'],-5.503627006,12.66209393
screen_NN,703,32072,"['screen_NN', 'screen_NNS', 'screen_NNP']",-5.511645823,10.52664115
