,OlfN,TotalN,Tokens,OAI,OSI
feel_VB,1511,85310,"['feel_VBZ', 'feel_VBP', 'feel_VB', 'feel_VBG']",-5.819139298,8.626991807
'll_MD,1275,72720,"[""'ll_MD""]",-5.833783047,8.87199822
window_NN,1054,60180,"['window_NN', 'window_NNS', 'window_NNP', 'window_NNPS']",-5.835337335,9.1466206
way_NN,5456,331425,"['way_NNS', 'way_NN', 'way_NNP', 'way_NNPS']",-5.924694977,6.774651823
outside_JJ,301,18301,['outside_JJ'],-5.926015185,10.95466008
round_NN,325,19775,"['round_NN', 'round_NNS', 'round_NNP']",-5.927094166,10.84398384
guy_NN,342,20812,"['guy_NN', 'guy_NNS', 'guy_NNP', 'guy_NNPS']",-5.927275477,10.77042724
glass_NN,480,29244,"['glass_NN', 'glass_NNS', 'glass_NNP']",-5.928962441,10.28138916
something_NN,1688,102998,['something_NN'],-5.931157609,8.467180563
good_JJ,5246,320345,"['good_JJ', 'good_JJR']",-5.932264855,6.83127766
constantly_RB,186,11718,['constantly_RB'],-5.977279923,11.64912094
differently_RB,127,8036,['differently_RB'],-5.983577162,12.19959507
impressive_JJ,131,8313,['impressive_JJ'],-5.987730495,12.15485675
photo_NN,401,25936,"['photo_NNS', 'photo_NN', 'photo_NNP']",-6.015209949,10.54082133
anyone_NN,704,45556,['anyone_NN'],-6.015921839,9.728848133
wander_VB,81,5261,"['wander_VBG', 'wander_VBD', 'wander_VB', 'wander_VBN', 'wander_VBP', 'wander_VBZ']",-6.021271332,12.84842975
anybody_NN,89,5786,['anybody_NN'],-6.022617177,12.71254632
saw_VB,631,41028,['saw_VBD'],-6.022825013,9.886783557
sharp_JJ,147,9662,"['sharp_JJ', 'sharp_JJR', 'sharp_JJS']",-6.038433793,11.98860741
really_RB,1584,105443,['really_RB'],-6.056747177,8.558923132
talented_JJ,79,5273,['talented_JJ'],-6.060627533,12.884499
smile_NN,75,5024,"['smile_NN', 'smile_NNS']",-6.065802058,12.95946106
ought_MD,153,10253,['ought_MD'],-6.066370637,11.93089191
continually_RB,100,6741,['continually_RB'],-6.07489072,12.54442356
info_NN,77,5200,"['info_NN', 'info_NNP']",-6.077509367,12.92149321
left_NN,147,10238,"['left_NN', 'left_NNP']",-6.121973946,11.98860741
dark_JJ,334,23335,"['dark_JJ', 'dark_JJR', 'dark_JJS']",-6.126503554,10.80457546
gray_JJ,116,8105,['gray_JJ'],-6.126615475,12.33029876
dress_NN,97,6841,"['dress_NN', 'dress_NNS', 'dress_NNP']",-6.140078672,12.58836691
down_RB,626,44260,['down_RB'],-6.143696984,9.898260905
take_VB,6965,493717,"['take_VB', 'take_VBN', 'take_VBG', 'take_VBZ', 'take_VBD', 'take_VBP']",-6.147417159,6.422372114
giant_JJ,83,5903,['giant_JJ'],-6.152193195,12.81324032
honest_JJ,109,7787,['honest_JJ'],-6.158667586,12.42009543
let_VB,1173,85724,"['let_VB', 'let_VBZ', 'let_VBP', 'let_VBD', 'let_VBG']",-6.191424251,8.992292454
nobody_NN,118,8641,['nobody_NN'],-6.194339517,12.3056367
definitely_RB,149,10982,['definitely_RB'],-6.203684675,11.96911123
deeply_RB,164,12093,"['deeply_RB', 'deeply_RBR']",-6.204332564,11.83072775
chart_NN,186,13883,"['chart_NNS', 'chart_NN', 'chart_NNP']",-6.221872924,11.64912094
blue_JJ,200,15344,"['blue_JJ', 'blue_JJR']",-6.261530815,11.54442356
smooth_JJ,110,8509,"['smooth_JJ', 'smooth_JJR']",-6.273414164,12.40692004
always_RB,1401,108913,['always_RB'],-6.2805754,8.736038512
tall_JJ,127,9886,"['tall_JJ', 'tall_JJR', 'tall_JJS']",-6.282486504,12.19959507
photograph_NN,279,21782,"['photograph_NNS', 'photograph_NN', 'photograph_NNP']",-6.286727495,11.06415844
viewer_NN,125,9768,"['viewer_NN', 'viewer_NNP', 'viewer_NNS']",-6.2880632,12.22249547
hair_NN,221,17399,"['hair_NN', 'hair_NNS', 'hair_NNP']",-6.29881421,11.40037719
everybody_NN,126,9945,['everybody_NN'],-6.302475732,12.21099983
clothes_NN,115,9081,"['clothes_NNS', 'clothes_NNPS']",-6.30314541,12.3427897
just_RB,3731,295583,['just_RB'],-6.307857127,7.322933107
right_RB,523,41699,['right_RB'],-6.31705803,10.15761262
actively_RB,159,12682,['actively_RB'],-6.317611706,11.8753968
terrible_JJ,90,7271,['terrible_JJ'],-6.336084984,12.69642666
interesting_JJ,437,35573,['interesting_JJ'],-6.347005557,10.41679028
buyer_NN,124,10186,"['buyer_NNS', 'buyer_NN', 'buyer_NNP']",-6.360103692,12.23408344
thing_NN,2242,184439,"['thing_NNS', 'thing_NN']",-6.36221366,8.057709189
clock_NN,125,10306,"['clock_NNS', 'clock_NN', 'clock_NNP']",-6.365412592,12.22249547
lens_NN,198,16390,"['lens_NNS', 'lens_NN', 'lens_NNP']",-6.371171614,11.55892313
start_VB,1648,136988,"['start_VBD', 'start_VBZ', 'start_VBG', 'start_VB', 'start_VBP', 'start_VBN']",-6.377189467,8.501779225
identical_JJ,102,8517,['identical_JJ'],-6.383704292,12.51585441
specifically_RB,402,33651,['specifically_RB'],-6.387310066,10.53722806
horizon_NN,78,6565,"['horizon_NNS', 'horizon_NN', 'horizon_NNP']",-6.395177077,12.90287753
clean_JJ,228,19341,"['clean_JJ', 'clean_JJR', 'clean_JJS']",-6.406484755,11.35538974
fine_NN,87,7533,"['fine_NN', 'fine_NNP']",-6.436065318,12.74533626
classic_JJ,105,9107,['classic_JJ'],-6.438514651,12.47403423
dress_VB,94,8219,"['dress_VBN', 'dress_VBG', 'dress_VBP', 'dress_VBD', 'dress_VB']",-6.450158306,12.6336909
seriously_RB,166,14572,['seriously_RB'],-6.455871848,11.81324032
familiar_JJ,223,19577,['familiar_JJ'],-6.455972181,11.38737985
'd_MD,588,51923,"[""'d_MD""]",-6.464413776,9.988607407
stuff_NN,190,16792,"['stuff_NN', 'stuff_NNP']",-6.465630843,11.61842414
everything_NN,534,47253,"['everything_NN', 'everything_NNP']",-6.467422374,10.12758382
client_NN,739,65471,"['client_NNS', 'client_NN', 'client_NNP']",-6.46913784,9.658849198
amazing_JJ,108,9595,['amazing_JJ'],-6.473179589,12.43339225
angle_NN,119,10592,"['angle_NN', 'angle_NNS']",-6.475869643,12.29346199
shoe_NN,104,9258,"['shoe_NN', 'shoe_NNS']",-6.476045129,12.48784003
perfect_JJ,230,20544,['perfect_JJ'],-6.480939436,11.3427897
alternative_NN,338,30227,"['alternative_NNS', 'alternative_NN', 'alternative_NNP']",-6.482670743,10.78740032
nose_NN,81,7260,"['nose_NN', 'nose_NNS']",-6.48590383,12.84842975
